Timestamp,Container_ID,Cargo_Type,Origin,Destination,Temperature_C,Humidity_Percent,Vibration_Level,Distance_Remaining_km,Spoilage_Risk,Recommended_Action,Alert_Status
2026-08-07 16:50:25.190705,CONT_002,Seafood,Vizag,Mumbai,3.12,70.06,0.042,1173.02,Low,Continue Monitoring,Normal
2026-08-07 16:50:26.197359,CONT_003,Dairy,Bengaluru,Pune,4.89,76.17,0.095,683.39,High,Immediate Inspection,Critical
2026-08-07 16:50:27.199037,CONT_001,Vaccines,Hyderabad,Chennai,5.67,87.58,0.025,1002.57,Medium,Check Cooling System,Warning
2026-08-07 16:50:28.202023,CONT_004,Fruits,Nagpur,Delhi,5.63,89.55,0.014,20.89,Medium,Check Cooling System,Warning
2026-08-07 16:50:29.204595,CONT_003,Dairy,Bengaluru,Pune,2.12,89.83,0.036,1466.73,Low,Continue Monitoring,Normal
2026-08-07 16:50:30.206842,CONT_003,Dairy,Bengaluru,Pune,1.67,76.06,0.013,1050.81,Low,Continue Monitoring,Normal
2026-08-07 16:50:31.208374,CONT_003,Dairy,Bengaluru,Pune,1.95,60.23,0.023,276.43,Low,Continue Monitoring,Normal
2026-08-07 16:50:32.209929,CONT_003,Dairy,Bengaluru,Pune,4.82,85.21,0.063,1440.75,Medium,Check Cooling System,Warning
2026-08-07 16:50:33.213032,CONT_004,Fruits,Nagpur,Delhi,6.33,63.18,0.095,422.36,High,Immediate Inspection,Critical
2026-08-07 17:10:03.189875,CONT_003,Dairy,Bengaluru,Pune,3.27,80.12,0.051,756.24,Medium,Check Cooling System,Warning
2026-08-07 17:10:04.192459,CONT_004,Fruits,Nagpur,Delhi,5.5,83.94,0.023,350.03,Medium,Check Cooling System,Warning
2026-08-07 17:10:05.194196,CONT_001,Vaccines,Hyderabad,Chennai,6.59,87.96,0.034,204.59,Medium,Check Cooling System,Warning
2026-08-07 17:10:06.196525,CONT_002,Seafood,Vizag,Mumbai,2.52,73.18,0.075,620.26,Medium,Check Cooling System,Warning
2026-08-07 17:10:07.198545,CONT_003,Dairy,Bengaluru,Pune,1.13,73.44,0.064,873.36,Medium,Check Cooling System,Warning
2026-08-07 17:10:08.201239,CONT_004,Fruits,Nagpur,Delhi,10.59,64.27,0.03,1143.95,High,Immediate Inspection,Critical
2026-08-07 17:10:09.203910,CONT_002,Seafood,Vizag,Mumbai,1.54,60.35,0.089,221.6,High,Immediate Inspection,Critical
2026-08-07 17:10:10.206216,CONT_001,Vaccines,Hyderabad,Chennai,5.0,77.02,0.076,1380.85,Medium,Check Cooling System,Warning
2026-08-07 17:10:11.208135,CONT_001,Vaccines,Hyderabad,Chennai,5.4,83.32,0.014,879.23,Medium,Check Cooling System,Warning
2026-08-07 17:10:12.210626,CONT_001,Vaccines,Hyderabad,Chennai,4.56,89.53,0.03,379.66,Low,Continue Monitoring,Normal
2026-08-07 17:10:13.212599,CONT_001,Vaccines,Hyderabad,Chennai,2.51,66.97,0.082,840.04,High,Immediate Inspection,Critical
2026-08-07 17:10:14.214998,CONT_002,Seafood,Vizag,Mumbai,1.28,73.07,0.037,614.25,Low,Continue Monitoring,Normal
2026-08-07 17:10:15.216714,CONT_003,Dairy,Bengaluru,Pune,3.14,88.58,0.09,503.42,High,Immediate Inspection,Critical
2026-08-07 17:10:16.218468,CONT_001,Vaccines,Hyderabad,Chennai,2.09,86.18,0.094,1073.46,High,Immediate Inspection,Critical
2026-08-07 17:10:17.220286,CONT_003,Dairy,Bengaluru,Pune,1.19,71.48,0.041,1167.73,Low,Continue Monitoring,Normal
2026-08-07 17:10:18.222140,CONT_001,Vaccines,Hyderabad,Chennai,2.77,76.87,0.067,1199.86,Medium,Check Cooling System,Warning
2026-08-07 17:10:19.224750,CONT_003,Dairy,Bengaluru,Pune,1.79,85.86,0.032,1025.54,Low,Continue Monitoring,Normal
2026-08-07 17:10:20.226931,CONT_003,Dairy,Bengaluru,Pune,4.46,73.11,0.019,236.81,Low,Continue Monitoring,Normal
2026-08-07 17:10:21.230010,CONT_004,Fruits,Nagpur,Delhi,10.13,88.7,0.057,1195.68,High,Immediate Inspection,Critical
2026-08-07 17:10:22.232598,CONT_004,Fruits,Nagpur,Delhi,8.99,76.81,0.04,1192.8,High,Immediate Inspection,Critical
2026-08-07 17:10:23.234294,CONT_004,Fruits,Nagpur,Delhi,11.77,75.4,0.034,1258.76,High,Immediate Inspection,Critical
2026-08-07 17:10:24.236065,CONT_001,Vaccines,Hyderabad,Chennai,3.31,69.32,0.056,433.83,Medium,Check Cooling System,Warning
2026-08-07 17:10:25.237965,CONT_003,Dairy,Bengaluru,Pune,3.68,75.57,0.075,802.03,Medium,Check Cooling System,Warning
2026-08-07 17:10:26.239730,CONT_002,Seafood,Vizag,Mumbai,0.88,84.11,0.064,406.19,Medium,Check Cooling System,Warning
2026-08-07 17:10:27.241364,CONT_001,Vaccines,Hyderabad,Chennai,3.89,74.71,0.091,477.24,High,Immediate Inspection,Critical
2026-08-07 17:10:28.244102,CONT_001,Vaccines,Hyderabad,Chennai,2.29,87.73,0.055,190.06,Medium,Check Cooling System,Warning
2026-08-07 17:10:29.245906,CONT_004,Fruits,Nagpur,Delhi,4.96,68.44,0.027,497.49,Low,Continue Monitoring,Normal
2026-08-07 17:10:30.248006,CONT_003,Dairy,Bengaluru,Pune,1.55,79.71,0.059,743.72,Medium,Check Cooling System,Warning
2026-08-07 17:10:31.250061,CONT_002,Seafood,Vizag,Mumbai,-0.07,74.29,0.048,457.38,Low,Continue Monitoring,Normal
2026-08-07 17:10:32.252428,CONT_002,Seafood,Vizag,Mumbai,0.98,80.82,0.031,494.87,Low,Continue Monitoring,Normal
2026-08-07 17:10:33.254212,CONT_004,Fruits,Nagpur,Delhi,11.27,80.44,0.07,593.52,High,Immediate Inspection,Critical
2026-08-07 17:10:34.256049,CONT_002,Seafood,Vizag,Mumbai,-0.1,85.49,0.058,954.8,Medium,Check Cooling System,Warning
